src_vendor,src_region,dest_vendor,dest_region,latency
aws,ap-northeast-2,aws,me-south-1,15.467
aws,ap-northeast-2,aws,sa-east-1,28.969
aws,ap-northeast-2,aws,us-east-1,18.804
aws,ap-northeast-2,aws,us-west-1,13.797
aws,ap-northeast-3,aws,af-south-1,34.823
aws,ap-northeast-3,aws,ap-east-1,6.219
aws,ap-northeast-3,aws,ap-northeast-1,5.315
aws,ap-northeast-3,aws,ap-northeast-2,5.353
aws,ap-northeast-3,aws,ap-northeast-3,5.277
aws,ap-northeast-3,aws,ap-south-1,21.855
aws,ap-northeast-3,aws,ap-southeast-2,11.975
aws,ap-northeast-3,aws,ca-central-1,16.446
aws,ap-northeast-3,aws,eu-central-1,23.962
aws,ap-northeast-3,aws,eu-north-1,25.369
aws,ap-northeast-3,aws,eu-south-1,22.74
aws,ap-northeast-3,aws,eu-west-2,22.559
aws,ap-northeast-3,aws,me-central-1,18.718
aws,ap-northeast-3,aws,me-south-1,17.757
aws,ap-northeast-3,aws,sa-east-1,27.068
aws,ap-northeast-3,aws,us-east-1,16.508
aws,ap-northeast-3,aws,us-west-1,12.54
aws,ap-south-1,aws,af-south-1,17.101
aws,ap-south-1,aws,ap-east-1,10.759
aws,ap-south-1,aws,ap-northeast-1,20.535
aws,ap-south-1,aws,ap-northeast-2,13.448
aws,ap-south-1,aws,ap-northeast-3,12.857
aws,ap-south-1,aws,ap-south-1,9.048
aws,ap-south-1,aws,ap-southeast-2,16.17
aws,ap-south-1,aws,ca-central-1,19.968
aws,ap-south-1,aws,eu-central-1,14.283
aws,ap-south-1,aws,eu-north-1,16.284
aws,ap-south-1,aws,eu-south-1,12.756
aws,ap-south-1,aws,eu-west-2,12.684
aws,ap-south-1,aws,me-central-1,5.38
aws,ap-south-1,aws,me-south-1,5.662
aws,ap-south-1,aws,sa-east-1,28.602
aws,ap-south-1,aws,us-east-1,19.609
aws,ap-south-1,aws,us-west-1,23.574
aws,ap-southeast-2,aws,af-south-1,38.651
aws,ap-southeast-2,aws,ap-east-1,14.238
aws,ap-southeast-2,aws,ap-northeast-1,21.715
aws,ap-southeast-2,aws,ap-northeast-2,15.421
aws,ap-southeast-2,aws,ap-northeast-3,14.679
aws,ap-southeast-2,aws,ap-south-1,16.226
aws,ap-southeast-2,aws,ap-southeast-2,5.288
aws,ap-southeast-2,aws,ca-central-1,20.813
aws,ap-southeast-2,aws,eu-central-1,37.456
aws,ap-southeast-2,aws,eu-north-1,29.487
aws,ap-southeast-2,aws,eu-south-1,25.213
aws,ap-southeast-2,aws,eu-west-2,27.111
aws,ap-southeast-2,aws,me-central-1,19.28
aws,ap-southeast-2,aws,me-south-1,19.627
aws,ap-southeast-2,aws,sa-east-1,31.13
aws,ap-southeast-2,aws,us-east-1,20.7
aws,ap-southeast-2,aws,us-west-1,15.262
aws,ca-central-1,aws,af-south-1,22.482
aws,ca-central-1,aws,ap-east-1,19.884
aws,ca-central-1,aws,ap-northeast-1,15.731
aws,ca-central-1,aws,ap-northeast-2,18.394
aws,ca-central-1,aws,ap-northeast-3,16.061
aws,ca-central-1,aws,ap-south-1,19.695
aws,ca-central-1,aws,ap-southeast-2,20.829
